Country;City;Date;SI_index
Азербайджан;Гянджа;27.02.2020;2.30
Азербайджан;Гянджа;27.03.2020;3.40
Азербайджан;Гянджа;27.04.2020;3.50
Азербайджан;Гянджа;28.02.2020;2.20
Азербайджан;Гянджа;28.03.2020;3.60
Азербайджан;Гянджа;29.02.2020;2.50
Азербайджан;Гянджа;29.03.2020;3.90
Азербайджан;Гянджа;30.03.2020;3.70
Азербайджан;Гянджа;31.03.2020;3.70
Армения;Ванадзор;01.03.2020;3.00
Армения;Ванадзор;01.04.2020;4.10
Армения;Ванадзор;02.03.2020;2.50
Армения;Ванадзор;02.04.2020;4.00
Армения;Ванадзор;03.03.2020;2.40
Армения;Ванадзор;03.04.2020;4.00
Армения;Ванадзор;04.03.2020;2.30
Армения;Ванадзор;04.04.2020;4.30
Армения;Ванадзор;05.03.2020;2.30
Армения;Ванадзор;05.04.2020;4.20
Армения;Ванадзор;06.03.2020;2.30
Армения;Ванадзор;06.04.2020;3.90
Армения;Ванадзор;07.03.2020;2.80
Армения;Ванадзор;07.04.2020;4.00
Армения;Ванадзор;08.03.2020;2.70
Армения;Ванадзор;08.04.2020;3.90
Армения;Ванадзор;09.03.2020;1.80
Армения;Ванадзор;09.04.2020;3.80
Армения;Ванадзор;10.03.2020;1.80
Армения;Ванадзор;10.04.2020;3.80
Армения;Ванадзор;11.03.2020;1.80
Армения;Ванадзор;11.04.2020;3.90
Армения;Ванадзор;12.03.2020;1.80
Армения;Ванадзор;12.04.2020;3.90
Армения;Ванадзор;13.03.2020;2.50
Армения;Ванадзор;13.04.2020;3.60
Армения;Ванадзор;14.03.2020;3.00
Армения;Ванадзор;14.04.2020;3.60
Армения;Ванадзор;15.03.2020;3.20
Армения;Ванадзор;15.04.2020;3.50
Армения;Ванадзор;16.03.2020;2.80
Армения;Ванадзор;16.04.2020;3.70
Армения;Ванадзор;17.03.2020;3.10
Армения;Ванадзор;17.04.2020;3.50
Армения;Ванадзор;18.03.2020;3.30
Армения;Ванадзор;18.04.2020;3.60
Армения;Ванадзор;19.03.2020;3.30
Армения;Ванадзор;19.04.2020;3.90
Армения;Ванадзор;20.03.2020;3.10
Армения;Ванадзор;20.04.2020;3.40
Армения;Ванадзор;21.03.2020;3.60
Армения;Ванадзор;21.04.2020;3.40
Армения;Ванадзор;22.03.2020;3.80
Армения;Ванадзор;22.04.2020;3.60
Армения;Ванадзор;23.02.2020;3.10
Армения;Ванадзор;23.03.2020;2.90
Армения;Ванадзор;23.04.2020;3.70
Армения;Ванадзор;24.02.2020;2.00
Армения;Ванадзор;24.03.2020;3.10
Армения;Ванадзор;24.04.2020;4.00
Армения;Ванадзор;25.02.2020;2.10
Армения;Ванадзор;25.03.2020;3.90
Армения;Ванадзор;25.04.2020;3.80
Армения;Ванадзор;26.02.2020;2.00
Армения;Ванадзор;26.03.2020;4.00
Армения;Ванадзор;26.04.2020;3.90
Армения;Ванадзор;27.02.2020;2.00
Армения;Ванадзор;27.03.2020;4.00
Армения;Ванадзор;27.04.2020;3.30
Армения;Ванадзор;28.02.2020;2.00
Армения;Ванадзор;28.03.2020;4.10
Армения;Ванадзор;29.02.2020;2.60
Армения;Ванадзор;29.03.2020;4.30
Армения;Ванадзор;30.03.2020;4.00
Армения;Ванадзор;31.03.2020;3.90
Армения;Гюмри;01.03.2020;2.90
Армения;Гюмри;01.04.2020;3.90
Армения;Гюмри;02.03.2020;2.40
Армения;Гюмри;02.04.2020;3.80
Армения;Гюмри;03.03.2020;2.40
Армения;Гюмри;03.04.2020;3.80
Армения;Гюмри;04.03.2020;2.20
Армения;Гюмри;04.04.2020;3.90
Армения;Гюмри;05.03.2020;2.20
Армения;Гюмри;05.04.2020;4.00
Армения;Гюмри;06.03.2020;2.30
Армения;Гюмри;06.04.2020;3.80
Армения;Гюмри;07.03.2020;2.50
Армения;Гюмри;07.04.2020;3.70
Армения;Гюмри;08.03.2020;2.70
Армения;Гюмри;08.04.2020;3.60
Армения;Гюмри;09.03.2020;1.90
Армения;Гюмри;09.04.2020;3.60
Армения;Гюмри;10.03.2020;1.80
Армения;Гюмри;10.04.2020;3.70
Армения;Гюмри;11.03.2020;1.80
Армения;Гюмри;11.04.2020;3.60
Армения;Гюмри;12.03.2020;1.90
Армения;Гюмри;12.04.2020;3.80
